fips,total_pop,white,Gini,gini,singpar,college2000,mhi,rent_burden,opioids,unemp
01001,55380,42527,0.4542,40.7,8.662106703146375,20.643627140139504,58343,32.8,129.9,3.6
01003,212830,183471,0.4587,44.5,8.600627783049857,26.321226287084944,56607,30.3,132.1,3.6
01005,25361,11869,0.4883,47.4,14.355161567057477,11.186903137789905,32490,30.3,93.3,5.1
01007,22493,17272,0.4487,39.8,5.125777657560184,11.000844594594595,45795,26.9,69.4,4
01009,57681,55062,0.457,41.1,7.120595848079869,11.618124700495182,48253,26.1,57.9,3.5
01011,10248,2244,0.4731,47.2,17.50390479800105,8.82618285928861,29113,30.3,23.4,4.6
01013,19828,10280,0.4619,43.9,9.821200510855684,12.293729372937294,36842,30.9,140.5,4.7
01015,114618,84439,0.4633,45.5,10.328929112681168,16.99428617307409,45937,31.1,165.4,4.6
01017,33660,19423,0.423,40.2,9.484278577725537,10.190206056561275,36883,32.3,147.3,3.9
01019,25903,24052,0.4515,44.4,8.866308029487946,8.48453725892959,44842,30.2,169.2,3.6
01021,44055,36835,0.4719,45.5,7.747837450992594,10.164109882268997,46405,28.4,120.6,3.6
01023,12925,7337,0.469,47.7,11.041043882467791,10.638646846959501,36711,32.8,97,5.5
01025,24128,12781,0.5158,52.4,8.162415408641333,13.421516754850089,36719,30.4,165.6,7.4
01027,13337,11092,0.4615,42,8.337531237081564,8.81579347534159,39642,25.9,139.7,3.8
01029,14916,14000,0.457,42.6,7.205774058954903,10.383996107085213,45480,24.2,51.1,4.2
01031,51662,39118,0.4327,44.7,10.598189899855406,20.19866481762183,51998,27,131.9,3.9
01033,54771,43289,0.4467,43.5,7.367863760698844,15.720930232558139,46100,30.3,222.9,4.6
01035,12394,6287,0.4296,47.5,11.575303765265154,10.449407899315869,30796,40.6,102.8,5.2
01037,10757,7078,0.4515,44.1,9.28691632115009,9.05783079578818,42442,24.8,26.8,4.1
01039,37200,31460,0.4598,45.8,9.134914597883963,13.606512249793543,39093,26.3,198.8,4.6
01041,13844,9879,0.4921,46.5,10.309463605054873,12.389570742784107,38419,26.3,94,4
01043,82853,78804,0.4416,45.6,7.914136329685318,13.198769140596381,45925,29.6,172,3.3
01045,49277,35655,0.4479,41.4,10.787017394993637,14.760612521806552,42572,27.2,63.8,4.2
01047,39149,10906,0.4691,50.5,16.41405240277288,14.175513352679719,31329,36.5,115.7,6.5
01049,71310,60924,0.4723,45.8,9.362860918665652,11.284913736045537,39906,22.9,117.6,3.8
01051,81144,61104,0.4413,40.3,9.786356970153395,18.167945144159358,59652,28.3,113.1,3.4
01053,37057,23053,0.4818,45.1,11.765952936188254,10.568530313753243,37870,31.1,174.3,4.5
01055,102748,82027,0.4594,42.9,11.53998002740426,14.772065817681048,41791,30.5,171.9,4.1
01057,16494,14068,0.461,42.8,8.233455747788941,10.14167994994776,39394,30.8,162,4.1
01059,31466,26118,0.4276,41.3,9.539041994750656,9.896291947950298,41025,26.5,222.4,3.7
01061,26417,22870,0.44,45.5,7.790065968180055,8.68691380080393,38561,29.7,56.4,3.9
01063,8324,1439,0.5115,53.5,16.348307351828485,11.759433301800563,28108,33,78.7,6.6
01065,14809,5854,0.4994,46.1,14.424445610961296,9.16478453765498,34905,32.9,85.1,5.1
01067,17133,12118,0.4407,45.3,9.743153238382469,15.460669679852698,48094,26.8,49.2,4.4
01069,104702,72344,0.4832,47.1,11.386138613861386,19.8475926567371,44753,29.3,146.6,4
01071,51852,47456,0.4516,44.3,7.113445974726679,10.523041973171788,42658,26.4,117.3,4.1
