fips,year,march_employees,payroll,establishments
00101,1970,0,0,0
00101,1971,0,0,0
00101,1974,4253,28715000,338
00101,1975,4364,31453000,343
00101,1976,4295,35329000,358
00101,1977,4894,48487000,379
00101,1978,5323,50159000,389
00101,1979,5438,55657000,377
00101,1980,5813,65043000,363
00101,1981,5421,69796000,354
00101,1982,4998,65799000,363
00101,1983,4753,68358000,420
00101,1984,5458,81585000,464
00101,1985,5115,79039000,474
00101,1986,4941,79189000,497
00101,1987,5721,94649000,534
00101,1988,12312,212238000,1080
00101,1989,6693,108534000,569
00101,1990,6639,113622000,585
00101,1991,6811,124325000,627
00101,1992,7466,129025000,641
00101,1993,7402,137012000,660
00101,1994,7713,143529000,664
00101,1995,7898,154385000,691
00101,1996,7547,158026000,706
00101,1997,8288,166744000,752
00101,1998,8100,172862000,754
00101,1999,9143,202499000,775
00101,2000,9115,196839000,769
00101,2001,9189,219788000,795
00101,2002,9962,225866000,833
00104,1970,0,0,0
00104,1971,0,0,0
00104,1974,3901,23095000,265
00104,1975,4056,29688000,281
00104,1976,3702,27746000,273
00104,1977,3563,29768000,307
00104,1978,3728,34711000,302
00104,1979,4206,39422000,304
00104,1980,3965,40059000,288
00104,1981,4231,45517000,302
00104,1982,4035,42331000,300
00104,1983,3736,48320000,380
00104,1984,4399,60769000,398
00104,1985,4601,62131000,399
00104,1986,4874,70506000,405
00104,1987,5565,91621000,428
00104,1988,5587,87897000,429
00104,1989,6347,105158000,445
00104,1990,6226,101477000,429
00104,1991,6055,108058000,422
00104,1992,5795,105008000,451
00104,1993,6095,106162000,445
00104,1994,6375,111566000,436
00104,1995,6488,114344000,437
00104,1996,6541,110053000,447
00104,1997,6841,121019000,490
00104,1998,7141,137709000,508
00104,1999,6425,123347000,493
00104,2000,6514,125517000,506
00104,2001,6378,129900000,512
00104,2002,5818,124189000,519
00105,1970,0,0,0
00105,1971,0,0,0
00105,1974,6009,40468000,617
00105,1975,6087,49080000,595
00105,1976,6428,54576000,604
00105,1977,6450,58658000,606
00105,1978,6932,69682000,607
00105,1979,7042,75243000,606
00105,1980,6927,80230000,587
00105,1981,6927,88097000,574
00105,1982,6429,82866000,558
00105,1983,6270,84476000,636
00105,1984,6706,89003000,651
00105,1985,6288,89324000,639
00105,1986,6642,102279000,617
00105,1987,6726,107607000,625
00105,1988,7196,113985000,619
00105,1989,7624,121742000,623
00105,1990,7557,124863000,605
00105,1991,7628,131171000,627
